# ZAP Scanning Rules
# Format: Rule ID	WARN/IGNORE/FAIL	Description

# Ignore certain rules for this vulnerable app (since it's intentionally vulnerable)
10021	IGNORE	X-Content-Type-Options Header Missing
10020	IGNORE	X-Frame-Options Header Not Set
10016	IGNORE	Web Browser XSS Protection Not Enabled
10017	IGNORE	Cross-Domain JavaScript Source File Inclusion

# Keep critical security issues as FAIL
40018	FAIL	SQL Injection
40012	FAIL	Cross Site Scripting (Reflected)
40013	FAIL	Cross Site Scripting (Persistent)
40014	FAIL	Cross Site Scripting (DOM Based)
90018	FAIL	Command Injection

# Warn on medium issues
10036	WARN	Server Leaks Version Information via "Server" HTTP Response Header Field
10038	WARN	Content Security Policy (CSP) Header Not Set
